68,Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,Andhra Pradesh,KRISHNA,Vijayawada,NA,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
69,Bethesda Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,098498 33321,,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
70,"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ",Andhra Pradesh,KRISHNA,Vijayawada,9849118077,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
71,Suraksha Voluntary Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,9394777899,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
72,M/s Ayush Nri Lepl Health Care Private Limited  ,Andhra Pradesh,KRISHNA,Vijayawada,8498061158,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
73,M/s. Nimra Institute of Medical Sciences ,Andhra Pradesh,KRISHNA,Vijayawada,,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
74,"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,KURNOOL,Adoni,9440503302,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
75,M/s. Indian Red Cross Society Blood Bank RCH 2,Andhra Pradesh,KURNOOL,Adoni,9440503302,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
76,M/s. Government General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,9985676311,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
77,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,9490601960,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
78,M/s. Viswa Bharathi General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
79,M/s. Viswa Bharathi Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
80,M/s. R.R. Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,9966662331,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
81,District Hospital Blood Bank ,Andhra Pradesh,KURNOOL,Nandyal,9959912781,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
82,M/s. Shantiram Medical College & General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Nandyal,,,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
83,Government Hospital Blood Bank,Andhra Pradesh,KURNOOL,Srisailam Project,,,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
84,M/s. Area Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Chirala,9441743892,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
85,Indian Red Cross Society Blood bank,Andhra Pradesh,PRAKASAM,Markapur,9440211131,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
86,M/s. RIMS General Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,9000991884,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
87,Indian Red Cross Society Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,9247264635,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
88,M/s. Life Line Volunytary Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"09247023117, 09848999117",Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
89,M/s. Belief Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,9849499988,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
90,Government Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Gudur,8008553616,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
91,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),Andhra Pradesh,SPSR NELLORE,Kavali,9849850498,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
92,M/s. APVVP Area Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,9247708602,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
93,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,9849850498,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
94,Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,9347033100,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
95,District Headquarters Hospital (Repeated),Andhra Pradesh,SPSR NELLORE,Nellore,92477088602,,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
96,D.S.R. Headquarters Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
97,Narayana Medical College & Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,NA,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
98,Gems Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Ragolu,9391489207,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
99,GMR Varalakshmi Care Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Rajam,NA,Private,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
100,Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Srikakulam,9701501018,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
101,Indian Red Cross Society (IRCS) Blood Bank,Andhra Pradesh,SRIKAKULAM,Srikakulam,NA,Charity,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
102,District Hospital,Andhra Pradesh,VISAKHAPATNAM,Anakapalli,9848325561,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
103,M/s. NTR Area Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Anakapalli,9491817042,Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
104,M/s. Visakha Steel General Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Gajuwaka,"07702917979, 08912888462",Government,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
105,M/s. INHS Kalyani Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Gajuwaka,,,"Atlanta Point
Near Cellular Jail
P.O. Aberdeen Bazaar
"
